DATE\TEAM,ANH,ARI,ATL,BOS,BUF,CAR,CBJ,CGY,CHI,COL,DAL,DET,EDM,FLA,LAK,MIN,MON,NJD,NSH,NYI,NYR,OTT,PHI,PIT,SJS,STL,TBL,TOR,VAN,WSH
1/19/2011,,,,,,,FLA-A,MIN-H,,,,,,CBJ-H,,CGY-A,,,,,TOR-H,,,,,,,NYR-A,,
1/20/2011,TOR-A,LAK-A,TBL-H,BUF-H,BOS-A,NYR-H,,,,NSH-H,EDM-A,STL-A,DAL-H,,ARI-H,,,PIT-H,COL-A,WSH-H,CAR-A,PHI-A,OTT-H,NJD-A,VAN-A,DET-H,ATL-A,ANH-H,SJS-H,NYI-A
1/21/2011,,,,,NYI-H,,,DAL-H,,,CGY-A,,,TBL-H,,,OTT-A,,,BUF-A,,MON-H,,,,,FLA-A,,,
1/22/2011,MON-A,LAK-H,NYR-H,COL-A,,PIT-A,STL-A,VAN-A,DET-A,BOS-H,,CHI-H,,,ARI-A,SJS-A,ANH-H,PHI-A,,,ATL-A,,NJD-H,CAR-H,MIN-H,CBJ-H,,WSH-H,CGY-H,TOR-A
1/23/2011,,,TBL-A,,NYI-A,,,,PHI-H,,,,NSH-H,NJD-A,,,,FLA-H,EDM-A,BUF-H,,,CHI-A,,,,ATL-H,,,
1/24/2011,,,,LAK-A,,TOR-H,,NSH-H,,STL-H,VAN-A,,,,BOS-H,,,,CGY-A,,WSH-A,,,,,COL-A,,CAR-A,DAL-H,NYR-H
1/25/2011,CBJ-A,EDM-H,,,OTT-A,,ANH-H,,MIN-H,,,,ARI-A,NYR-A,,CHI-A,PHI-A,,,PIT-A,FLA-H,BUF-H,MON-H,NYI-H,,,TOR-H,TBL-A,,
1/26/2011,,COL-A,WSH-H,FLA-H,,NYI-A,,STL-H,,ARI-H,EDM-H,NJD-H,DAL-A,BOS-A,SJS-H,,,DET-A,VAN-A,CAR-H,,,,,LAK-A,CGY-A,,,NSH-H,ATL-A
1/27/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/28/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/29/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/30/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/31/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/2011,,SJS-A,NYI-H,CAR-A,,BOS-H,CHI-H,NSH-A,CBJ-A,,VAN-H,,,TOR-A,MIN-A,LAK-H,WSH-A,OTT-H,CGY-H,ATL-A,PIT-H,NJD-A,TBL-A,NYR-A,ARI-H,,PHI-H,FLA-H,DAL-A,MON-H
2/2/2011,SJS-H,VAN-H,,,,,,,,,,OTT-A,LAK-H,MON-A,EDM-A,,FLA-H,,,PIT-A,,DET-H,,NYI-H,ANH-A,,,,ARI-A,
2/3/2011,,,CGY-H,DAL-H,,TOR-A,,ATL-A,,MIN-H,BOS-A,,,,,COL-A,,NYR-A,PHI-A,,NJD-H,,NSH-H,,,,,CAR-H,,
2/4/2011,,,,,PIT-A,,DET-A,,VAN-A,,,CBJ-H,STL-A,NJD-A,,,,FLA-H,,,,,,BUF-H,,EDM-H,WSH-H,,CHI-H,TBL-A
2/5/2011,COL-A,MIN-H,CAR-A,SJS-H,TOR-H,ATL-H,EDM-H,LAK-H,,ANH-H,PHI-A,NSH-A,CBJ-A,,CGY-A,ARI-A,NYR-H,,DET-H,OTT-H,MON-A,NYI-A,DAL-H,,BOS-A,,,BUF-A,,
2/6/2011,,,,,,,,,,,,,,,,,NJD-H,MON-A,,,,,,WSH-A,,TBL-A,STL-H,,,PIT-H
2/7/2011,,COL-H,TOR-A,,,,,CHI-H,CGY-A,ARI-A,,NYR-H,NSH-A,,,,,,EDM-H,,DET-A,VAN-A,,,,,,ATL-H,OTT-H,
2/8/2011,,,,,TBL-A,NJD-A,PIT-A,,,,,,,STL-H,,,,CAR-H,,TOR-H,,,,CBJ-H,WSH-A,FLA-A,BUF-H,NYI-A,,SJS-H
2/9/2011,VAN-A,DAL-A,,MON-H,,,SJS-H,OTT-H,EDM-A,MIN-A,ARI-H,NSH-H,CHI-H,,,COL-H,BOS-A,,DET-A,,,CGY-A,,,CBJ-A,,,,ANH-H,
2/10/2011,,,,,FLA-A,PHI-A,,,,,,,,BUF-H,PIT-A,,NYI-H,TOR-A,,MON-A,,,CAR-H,LAK-H,,,,NJD-H,,
2/11/2011,CGY-A,,NYR-H,DET-H,,,COL-H,ANH-H,DAL-A,CBJ-A,CHI-H,BOS-A,,,,STL-A,,SJS-H,,PIT-H,ATL-A,,,NYI-A,NJD-A,MIN-H,,,,
2/12/2011,,CHI-H,,,,TBL-A,,VAN-A,ARI-A,NSH-A,,,OTT-H,,WSH-A,STL-H,TOR-H,,COL-H,,,EDM-A,,,,MIN-A,CAR-H,MON-A,CGY-H,LAK-H
2/13/2011,EDM-A,,CAR-H,DET-A,NYI-H,ATL-A,DAL-A,,,,CBJ-H,BOS-H,ANH-H,SJS-H,PHI-A,,,,,BUF-A,PIT-H,,LAK-H,NYR-A,FLA-A,,,,,
2/14/2011,,WSH-H,,,,,,COL-A,,CGY-H,,,,,,,,,,,,,,,,VAN-H,,,STL-A,ARI-A
2/15/2011,,,,TOR-H,MON-A,,,,,,EDM-A,,DAL-H,,,VAN-H,BUF-H,,SJS-H,OTT-A,,NYI-H,TBL-A,,NSH-A,,PHI-H,BOS-A,MIN-A,
2/16/2011,WSH-H,,,,TOR-H,NJD-A,LAK-H,DAL-H,MIN-H,PIT-H,CGY-A,,,PHI-H,CBJ-A,CHI-A,,CAR-H,,,,,FLA-A,COL-A,,,,BUF-A,,ANH-A
