DATE,VISITING TEAM,HOME TEAM,TIME
"SAT NOV 2, 2013",NASHVILLE,LOS ANGELES,10:30 PM ET
,,,
"SAT NOV 2, 2013",PHOENIX,SAN JOSE,10:30 PM ET
,,,
"SUN NOV 3, 2013",DALLAS,OTTAWA,1:00 PM ET
,,,
"SUN NOV 3, 2013",CALGARY,CHICAGO,7:30 PM ET
,,,
"SUN NOV 3, 2013",NEW JERSEY,MINNESOTA,8:00 PM ET
,,,
"MON NOV 4, 2013",ANAHEIM,NY RANGERS,7:30 PM ET
,,,
"MON NOV 4, 2013",DETROIT,WINNIPEG,8:00 PM ET
,,,
"TUE NOV 5, 2013",DALLAS,BOSTON,7:00 PM ET
,,,
"TUE NOV 5, 2013",NY ISLANDERS,WASHINGTON,7:00 PM ET
,,,
"TUE NOV 5, 2013",OTTAWA,COLUMBUS,7:00 PM ET
,,,
"TUE NOV 5, 2013",ST. LOUIS,MONTREAL,7:30 PM ET
,,,
"TUE NOV 5, 2013",EDMONTON,FLORIDA,7:30 PM ET
,,,
"TUE NOV 5, 2013",PHILADELPHIA,CAROLINA,7:30 PM ET
,,,
"TUE NOV 5, 2013",CALGARY,MINNESOTA,8:00 PM ET
,,,
"TUE NOV 5, 2013",VANCOUVER,PHOENIX,9:00 PM ET
,,,
"TUE NOV 5, 2013",BUFFALO,SAN JOSE,10:30 PM ET
,,,
"WED NOV 6, 2013",PITTSBURGH,NY RANGERS,7:30 PM ET
,,,
"WED NOV 6, 2013",WINNIPEG,CHICAGO,8:00 PM ET
,,,
"WED NOV 6, 2013",NASHVILLE,COLORADO,9:30 PM ET
,,,
"WED NOV 6, 2013",PHOENIX,ANAHEIM,10:00 PM ET
,,,
"THU NOV 7, 2013",FLORIDA,BOSTON,7:00 PM ET
,,,
"THU NOV 7, 2013",MONTREAL,OTTAWA,7:00 PM ET
,,,
"THU NOV 7, 2013",NEW JERSEY,PHILADELPHIA,7:00 PM ET
,,,
"THU NOV 7, 2013",MINNESOTA,WASHINGTON,7:00 PM ET
,,,
"THU NOV 7, 2013",NY ISLANDERS,CAROLINA,7:00 PM ET
,,,
"THU NOV 7, 2013",NY RANGERS,COLUMBUS,7:00 PM ET
,,,
"THU NOV 7, 2013",DALLAS,DETROIT,7:30 PM ET
,,,
"THU NOV 7, 2013",EDMONTON,TAMPA BAY,7:30 PM ET
,,,
"THU NOV 7, 2013",CALGARY,ST. LOUIS,8:00 PM ET
,,,
"THU NOV 7, 2013",BUFFALO,LOS ANGELES,10:30 PM ET
,,,
"THU NOV 7, 2013",VANCOUVER,SAN JOSE,10:30 PM ET
,,,
"FRI NOV 8, 2013",NEW JERSEY,TORONTO,7:30 PM ET
,,,
"FRI NOV 8, 2013",NASHVILLE,WINNIPEG,8:00 PM ET
,,,
"FRI NOV 8, 2013",CALGARY,COLORADO,9:00 PM ET
,,,
"FRI NOV 8, 2013",BUFFALO,ANAHEIM,10:00 PM ET
,,,
"SAT NOV 9, 2013",EDMONTON,PHILADELPHIA,1:00 PM ET
,,,
"SAT NOV 9, 2013",FLORIDA,OTTAWA,2:00 PM ET
,,,
"SAT NOV 9, 2013",TORONTO,BOSTON,7:00 PM ET
,,,
"SAT NOV 9, 2013",TAMPA BAY,DETROIT,7:00 PM ET
,,,
