DATE\TEAM,ANH,ARI,CHI,BOS,BUF,CAR,CBJ,CGY,CHI,COL,DAL,DET,EDM,FLA,LAK,MIN,MON,NJD,NSH,NYI,NYR,OTT,PHI,PIT,SJS,STL,TBL,TOR,VAN,WSH
1/8/2009,LAK-A,TBL-H,NJD-A,OTT-H,,FLA-A,,NYI-H,COL-A,CHI-H,DET-A,DAL-H,,CAR-H,ANH-H,PHI-A,TOR-H,ATL-H,PIT-H,CGY-A,,BOS-A,MIN-H,NSH-A,,,ARI-A,MON-A,,
1/9/2009,TBL-H,,,,NYR-H,,WSH-A,,,,,,SJS-H,,,,,,,,BUF-A,,,,EDM-A,VAN-A,ANH-A,,STL-H,CBJ-H
1/10/2009,,DAL-H,FLA-A,CAR-H,DET-A,BOS-A,MIN-H,,NSH-A,PIT-H,ARI-A,BUF-H,,ATL-H,NJD-H,CBJ-A,WSH-H,LAK-A,CHI-H,,OTT-A,NYR-H,TOR-H,COL-A,VAN-A,,,PHI-A,SJS-H,MON-A
1/11/2009,NJD-H,,,,,,,,NSH-H,,,,STL-H,,,,,ANH-A,CHI-A,,,,,,,EDM-A,,,,
1/12/2009,,,,,,,,,,,DET-H,DAL-A,,,TBL-H,,,,,,,,,,,,LAK-A,,,
1/13/2009,,MIN-A,,MON-H,,OTT-A,COL-H,STL-H,,CBJ-A,,,WSH-A,,,ARI-H,BOS-A,VAN-A,TOR-A,NYR-H,NYI-A,CAR-H,PIT-H,PHI-A,TBL-H,CGY-A,SJS-A,NSH-H,NJD-H,EDM-H
1/14/2009,DET-H,,OTT-H,,CHI-A,,,,BUF-H,,,ANH-A,,,,,,,,,,ATL-A,,WSH-H,,,,,,PIT-A
1/15/2009,,VAN-A,,NYI-A,DAL-A,TOR-H,,SJS-A,,STL-A,BUF-H,LAK-A,MIN-A,,DET-H,EDM-H,NSH-H,,MON-A,BOS-H,,,TBL-A,,CGY-H,COL-H,PHI-H,CAR-A,ARI-H,
1/16/2009,PIT-A,,TOR-H,,,,NJD-H,,NYR-H,EDM-H,,,COL-A,PHI-H,,,,CBJ-A,,,CHI-A,,FLA-A,ANH-H,,,,ATL-A,,
1/17/2009,MIN-A,CGY-A,NSH-A,WSH-A,CAR-H,BUF-A,,ARI-H,STL-A,,LAK-H,SJS-A,,TBL-A,DAL-A,ANH-H,OTT-A,NYI-A,ATL-H,NJD-H,,MON-H,,,DET-H,CHI-H,FLA-H,,,BOS-H
1/18/2009,,EDM-A,,,,,VAN-A,COL-A,,CGY-H,,,ARI-H,,,,,,,,PIT-A,,,NYR-H,,,,,CBJ-H,
1/19/2009,,,,STL-H,FLA-A,TOR-A,,,MIN-H,,TBL-A,,,BUF-H,,CHI-A,,NSH-A,NJD-H,WSH-H,,,,,,BOS-A,DAL-H,CAR-H,,NYI-A
1/20/2009,NYR-A,DET-H,MON-H,,,PIT-A,EDM-A,,,,,ARI-A,CBJ-H,,MIN-A,LAK-H,ATL-A,,,,ANH-H,WSH-H,,CAR-H,VAN-H,,,,SJS-A,OTT-A
1/21/2009,NYI-A,,PHI-A,TOR-A,TBL-A,,CGY-A,CBJ-H,STL-H,LAK-H,FLA-A,,,DAL-H,COL-A,,NJD-A,MON-H,,ANH-H,,,ATL-H,,,CHI-A,BUF-H,BOS-H,,
1/22/2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/23/2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/24/2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/25/2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/26/2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/27/2009,ARI-A,ANH-H,DAL-A,WSH-H,EDM-A,NYR-A,DET-H,,,SJS-H,ATL-H,CBJ-A,BUF-H,PHI-H,,TOR-H,TBL-A,OTT-A,,,CAR-H,NJD-H,FLA-A,,COL-A,,MON-H,MIN-A,,BOS-A
1/28/2009,CHI-H,,,,CGY-A,,,BUF-H,ANH-A,,,,,,,,,,VAN-A,,PIT-A,,,NYR-H,,,,,NSH-H,
1/29/2009,,SJS-A,NYI-H,NJD-H,,TBL-H,,,LAK-A,TOR-H,DET-A,DAL-H,,MON-H,CHI-H,,FLA-A,BOS-A,,ATL-A,,STL-A,,,ARI-H,OTT-H,CAR-A,COL-A,,
1/30/2009,,,,,,,OTT-H,NSH-H,,,,,MIN-H,,,EDM-A,,PIT-H,CGY-A,,,CBJ-A,TBL-A,NJD-A,,,PHI-H,,,
1/31/2009,COL-A,BUF-H,CAR-A,NYR-H,ARI-A,ATL-H,DAL-H,,SJS-A,ANH-H,CBJ-A,WSH-A,,NYI-A,MON-A,VAN-A,LAK-H,,,FLA-H,BOS-A,,STL-A,TOR-A,CHI-H,PHI-H,,PIT-H,MIN-H,DET-H
2/1/2009,,,,MON-A,,,,,,,,,NSH-H,,,,BOS-H,,EDM-A,,,WSH-A,,,,,,,,OTT-H
2/2/2009,BUF-H,,,,ANH-A,,,COL-A,,CGY-H,,STL-H,,,,,,,,,,,,,,DET-A,,,,
2/3/2009,,NSH-A,NYR-A,,,VAN-A,STL-H,DAL-A,EDM-A,,CGY-H,,CHI-H,TOR-A,OTT-A,,PIT-H,WSH-H,ARI-H,TBL-H,ATL-H,LAK-H,,MON-A,,CBJ-A,NYI-A,FLA-H,CAR-H,NJD-A
2/4/2009,MIN-A,DET-A,,PHI-A,TOR-H,,,,,,,ARI-H,,,,ANH-H,,,,,,,BOS-H,TBL-H,,,PIT-A,BUF-A,,
2/5/2009,NSH-A,,,OTT-A,,SJS-A,,CHI-H,CGY-A,DAL-H,COL-A,,STL-A,NYI-H,WSH-A,,,,ANH-H,FLA-A,,BOS-H,,,CAR-H,EDM-H,,,,LAK-H
2/6/2009,,,NJD-H,,MON-H,,PIT-A,,,,NYR-H,,,,,NSH-H,BUF-A,ATL-A,MIN-A,,DAL-A,,,CBJ-H,,,,,,
2/7/2009,CGY-A,CAR-H,,PHI-H,OTT-A,ARI-A,SJS-H,ANH-H,VAN-A,STL-A,,EDM-H,DET-A,WSH-A,NJD-A,,TOR-H,LAK-H,,TBL-A,,BUF-H,BOS-A,,CBJ-A,COL-H,NYI-H,MON-A,CHI-H,FLA-H
2/8/2009,,,PHI-H,,,,,,,,NSH-H,PIT-A,MIN-A,,,EDM-H,,,DAL-A,,,,ATL-A,DET-H,,,,,,
2/9/2009,,,,,,,,MON-H,,,,,,,,,CGY-A,NYR-H,,,NJD-A,,,,,,,,,
2/10/2009,,,TBL-A,SJS-H,,,COL-H,,,CBJ-A,,NSH-A,,TOR-H,NYI-A,,,,DET-H,LAK-H,,,,,BOS-A,VAN-H,ATL-H,FLA-A,STL-A,
2/11/2009,CGY-H,DAL-A,CHI-H,,OTT-H,,,ANH-A,ATL-A,MIN-A,ARI-H,,MON-H,,,COL-H,EDM-A,NYI-H,,NJD-A,WSH-H,BUF-A,,SJS-H,PIT-A,,,,,NYR-A
2/12/2009,,VAN-H,,,,FLA-H,,LAK-A,,,,MIN-H,,CAR-A,CGY-H,DET-A,,,STL-H,,,PHI-A,OTT-H,,,NSH-A,TOR-H,TBL-A,ARI-A,
2/13/2009,,,,NJD-A,SJS-H,,DET-H,,STL-A,MON-H,VAN-H,CBJ-A,,NYR-H,,,COL-A,BOS-H,,,FLA-A,,,,BUF-A,CHI-H,,,DAL-A,
2/14/2009,,CGY-H,,NSH-A,,CBJ-H,CAR-A,ARI-A,DAL-H,,CHI-A,,LAK-A,,EDM-H,OTT-H,,,BOS-H,PHI-A,,MIN-A,NYI-H,TOR-A,,,WSH-H,PIT-H,,TBL-A
2/15/2009,ATL-H,,ANH-A,,CAR-H,BUF-A,,,,DET-A,,COL-H,,WSH-H,,,VAN-A,SJS-H,,,PHI-H,,NYR-A,,NJD-A,,,,MON-H,FLA-A
2/16/2009,,EDM-H,LAK-A,,,,DAL-H,,,,CBJ-A,,ARI-A,,ATL-H,,,,OTT-H,PIT-H,STL-A,NSH-A,,NYI-A,,NYR-H,,,,
