DATE\TEAM,ANH,ARI,BOS,BUF,CAR,CBJ,CGY,CHI,COL,DAL,DET,EDM,FLA,LAK,MIN,MON,NJD,NSH,NYI,NYR,OTT,PHI,PIT,SJS,STL,TBL,TOR,VAN,WPG,WSH
12/16/2011,CHI-A,,,TOR-H,,,FLA-A,ANH-H,,NJD-A,,,CGY-H,,,,DAL-H,,,,PIT-H,,OTT-A,,,,BUF-A,,,
12/17/2011,WPG-A,NYR-H,PHI-A,PIT-A,,TBL-H,,,WSH-H,,LAK-H,SJS-A,,DET-A,NYI-H,NJD-H,MON-A,STL-H,MIN-A,ARI-A,,BOS-H,BUF-H,EDM-H,NSH-A,CBJ-A,VAN-H,TOR-A,ANH-H,COL-A
12/18/2011,,,,,FLA-A,STL-A,CHI-A,CGY-H,,,,,CAR-H,,,,,,,,,,,,CBJ-H,,,,,
12/19/2011,DAL-A,,MON-H,,,,,,PHI-H,ANH-H,EDM-A,DET-H,,TOR-A,VAN-A,BOS-A,,,,,,COL-A,,,,,LAK-H,MIN-H,,
12/20/2011,,FLA-A,,OTT-A,,,MIN-H,PIT-A,,,,,ARI-H,,CGY-A,,NYR-H,WSH-A,WPG-A,NJD-A,BUF-H,,CHI-H,,,,,,NYI-H,NSH-H
12/21/2011,,CAR-A,,,ARI-H,,,MON-H,STL-H,PHI-H,VAN-A,,,,,CHI-A,,,,,,DAL-A,,TBL-H,COL-A,SJS-A,,DET-H,,
12/22/2011,LAK-A,,,TOR-A,,NSH-A,DET-H,,,,CGY-A,MIN-H,OTT-A,ANH-H,EDM-A,WPG-A,,CBJ-H,NYR-A,NYI-H,FLA-H,,,,,,BUF-H,,MON-H,
12/23/2011,,STL-H,FLA-H,,OTT-H,,VAN-A,,TBL-H,NSH-H,,,BOS-A,SJS-A,,,WSH-H,DAL-A,TOR-H,PHI-H,CAR-A,NYR-A,WPG-A,LAK-H,ARI-A,COL-A,NYI-A,CGY-H,PIT-H,NJD-A
12/24/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/25/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/26/2011,SJS-A,LAK-A,,WSH-H,NJD-H,CHI-A,,CBJ-H,MIN-A,STL-A,NSH-A,VAN-A,,ARI-H,COL-H,,CAR-A,DET-H,NYR-A,NYI-H,,,,ANH-H,DAL-H,,,EDM-H,,BUF-A
12/27/2011,,,,,PIT-A,CGY-H,CBJ-A,,WPG-H,,STL-H,,TOR-H,,,OTT-A,,,,,MON-H,TBL-A,CAR-H,,DET-A,PHI-H,FLA-A,,COL-A,
12/28/2011,,BOS-H,ARI-A,NJD-A,,,,LAK-H,,,,,,CHI-A,NSH-A,,BUF-H,MIN-H,,WSH-A,,,,VAN-H,,,,SJS-A,,NYR-H
12/29/2011,VAN-H,COL-A,,,TOR-H,DAL-A,NYI-A,,ARI-H,CBJ-H,,MIN-A,,WPG-A,EDM-H,TBL-A,,,CGY-H,,,PIT-A,PHI-H,,,MON-H,CAR-A,ANH-A,LAK-H,
12/30/2011,,,,WSH-A,,,OTT-A,DET-H,,,CHI-A,,NYR-H,,,,,STL-A,,FLA-A,CGY-H,,,,NSH-H,,,,,BUF-H
12/31/2011,COL-H,MIN-A,DAL-A,OTT-H,TBL-A,WSH-H,,,ANH-A,BOS-H,STL-H,NYI-A,MON-H,VAN-H,ARI-H,FLA-A,PIT-H,,EDM-H,,BUF-A,,NJD-A,,DET-A,CAR-H,WPG-A,LAK-A,TOR-H,CBJ-A
1/1/2012,,,,,,,NSH-A,,,,,,,,,,,CGY-H,,,,,,,,,,,,
1/2/2012,,,,,,,,EDM-H,LAK-A,,,CHI-A,,COL-H,,,OTT-A,,,PHI-A,NJD-H,NYR-H,,VAN-A,,,,SJS-H,,
1/3/2012,,STL-A,,EDM-H,NYI-H,,WSH-A,,,DET-H,DAL-A,BUF-A,,,,,,,CAR-A,,,,,,ARI-H,TOR-A,TBL-H,,,CGY-H
1/4/2012,SJS-H,,NJD-A,,,,,,,,,,,,VAN-A,WPG-H,BOS-H,,,,,,,ANH-A,,,,MIN-H,MON-A,
1/5/2012,,LAK-A,CGY-H,,,SJS-A,BOS-A,PHI-A,,NSH-A,,STL-A,NYR-A,ARI-H,,,,DAL-H,,FLA-H,TBL-H,CHI-H,,CBJ-H,EDM-H,OTT-A,WPG-H,,TOR-A,
1/6/2012,NYI-H,,,CAR-A,BUF-H,,,COL-H,CHI-A,,,,NJD-A,,,,FLA-H,,ANH-A,PIT-A,,,NYR-H,,,,,,,
1/7/2012,,NYI-H,VAN-H,WPG-H,NSH-A,LAK-A,MIN-H,,STL-A,EDM-H,TOR-A,DAL-A,,CBJ-H,CGY-A,TBL-H,PIT-A,CAR-H,ARI-A,,PHI-A,OTT-H,NJD-H,WSH-H,COL-H,MON-A,DET-H,BOS-A,BUF-A,SJS-A
1/8/2012,CBJ-H,,,,,ANH-A,,DET-H,,,CHI-A,,,,,,,,,,PHI-H,OTT-A,,,,,,,,
1/9/2012,,,,,,,,,,,,,VAN-H,WSH-H,,,,,,,,,,,,,,FLA-A,,LAK-A
1/10/2012,DAL-H,NYR-A,WPG-H,TOR-A,PHI-H,CHI-A,NJD-H,CBJ-H,NSH-H,ANH-A,NYI-A,,,,SJS-H,STL-H,CGY-A,COL-A,DET-H,ARI-H,PIT-A,CAR-A,OTT-H,MIN-A,MON-A,VAN-H,BUF-H,TBL-A,BOS-A,
1/11/2012,,,,,,,,,,,,NJD-H,,,,,EDM-A,,,,,,WSH-A,,,,,,,PIT-H
1/12/2012,CGY-A,DET-A,MON-H,,TBL-A,,ANH-H,MIN-H,NSH-A,LAK-A,ARI-H,,,DAL-H,CHI-A,BOS-A,,COL-H,PHI-H,OTT-H,NYR-A,NYI-A,,WPG-A,VAN-H,CAR-H,,STL-A,SJS-H,
1/13/2012,EDM-A,CBJ-A,,TOR-H,,ARI-H,,,,,,ANH-H,PIT-H,,,,,,,,,,FLA-A,,,WSH-A,BUF-A,,,TBL-H
1/14/2012,,,CAR-A,NYI-A,BOS-H,SJS-H,LAK-H,DET-A,DAL-A,COL-H,CHI-H,,,CGY-A,STL-A,OTT-H,WPG-A,PHI-H,BUF-H,TOR-A,MON-A,NSH-A,,CBJ-A,MIN-H,,NYR-H,,NJD-H,
1/15/2012,VAN-A,,,,WSH-A,,,SJS-H,,,,LAK-H,,EDM-A,,NYR-H,,,,MON-A,,,TBL-A,CHI-A,,PIT-H,,ANH-H,,CAR-H
1/16/2012,,COL-H,FLA-A,DET-A,,,,,ARI-A,STL-A,BUF-H,,BOS-H,,,,,NYI-A,NSH-H,,WPG-H,,,,DAL-H,,,,OTT-A,
1/17/2012,,,TBL-A,,PIT-A,EDM-H,SJS-A,,,DET-H,DAL-A,CBJ-A,,VAN-A,PHI-A,,WPG-H,NYR-A,WSH-A,NSH-H,TOR-A,MIN-H,CAR-H,CGY-H,,BOS-H,OTT-H,LAK-H,NJD-A,NYI-H
1/18/2012,ARI-H,ANH-A,,CHI-A,,,,BUF-H,FLA-H,,,,COL-A,,,WSH-H,,,,,,,,,,,,,,MON-A
1/19/2012,,DET-H,NJD-A,WPG-A,,NSH-H,LAK-A,,,,ARI-A,STL-A,,CGY-H,TOR-A,,BOS-H,CBJ-A,PHI-A,PIT-H,SJS-A,NYI-H,NYR-A,OTT-H,EDM-H,,MIN-H,,BUF-H,
1/20/2012,,,,,WSH-H,,,FLA-H,,TBL-H,,,CHI-A,,,PIT-A,,,,,,,MON-H,,,DAL-A,,,,CAR-A
1/21/2012,OTT-H,TBL-H,NYR-H,STL-A,NYI-A,DET-A,EDM-A,NSH-A,LAK-A,MIN-A,CBJ-H,CGY-H,WPG-A,COL-H,DAL-H,TOR-A,PHI-H,CHI-H,CAR-H,BOS-A,ANH-A,NJD-A,,VAN-A,BUF-H,ARI-A,MON-H,SJS-H,FLA-H,
1/22/2012,COL-H,,PHI-A,,,,,,ANH-A,,,,,,,,,,,,,BOS-H,WSH-H,,,,,,,PIT-A
1/23/2012,,,,,WPG-H,NSH-A,,,,,STL-H,SJS-H,,OTT-H,,,,CBJ-H,TOR-A,,LAK-A,,,EDM-A,DET-A,,NYI-H,,CAR-A,
1/24/2012,DAL-A,OTT-H,WSH-A,NJD-A,,TBL-A,SJS-H,NSH-H,MIN-H,ANH-H,,VAN-A,PHI-H,,COL-A,,BUF-H,CHI-A,TOR-H,WPG-H,ARI-A,FLA-A,STL-A,CGY-A,PIT-H,CBJ-H,NYI-A,EDM-H,NYR-A,BOS-H
1/25/2012,,,,,,,,,,,MON-A,,,,,DET-H,,,,,,,,,,,,,,
1/26/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/27/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/28/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/29/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/30/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/31/2012,ARI-A,ANH-H,OTT-H,MON-A,NYI-H,SJS-A,DET-H,VAN-A,EDM-A,,CGY-A,COL-H,,,NSH-H,BUF-H,NYR-H,MIN-A,CAR-A,NJD-A,BOS-A,WPG-H,TOR-H,CBJ-H,,WSH-H,PIT-A,CHI-H,PHI-A,TBL-A
