HOME,AWAY,DATE,TIME (ET)
ARI,EDM,"DEC 15, 2011",9:30 PM
SJS,COL,"DEC 15, 2011",10:30 PM
BUF,TOR,"DEC 16, 2011",7:30 PM
OTT,PIT,"DEC 16, 2011",7:30 PM
FLA,CGY,"DEC 16, 2011",7:30 PM
NJD,DAL,"DEC 16, 2011",8:00 PM
CHI,ANH,"DEC 16, 2011",8:30 PM
PHI,BOS,"DEC 17, 2011",1:00 PM
TOR,VAN,"DEC 17, 2011",7:00 PM
MON,NJD,"DEC 17, 2011",7:00 PM
PIT,BUF,"DEC 17, 2011",7:00 PM
WPG,ANH,"DEC 17, 2011",7:00 PM
DET,LAK,"DEC 17, 2011",7:00 PM
CBJ,TBL,"DEC 17, 2011",7:00 PM
NSH,STL,"DEC 17, 2011",8:00 PM
MIN,NYI,"DEC 17, 2011",8:00 PM
ARI,NYR,"DEC 17, 2011",8:00 PM
COL,WSH,"DEC 17, 2011",9:00 PM
SJS,EDM,"DEC 17, 2011",10:00 PM
FLA,CAR,"DEC 18, 2011",5:00 PM
CHI,CGY,"DEC 18, 2011",7:00 PM
STL,CBJ,"DEC 18, 2011",7:00 PM
BOS,MON,"DEC 19, 2011",7:00 PM
TOR,LAK,"DEC 19, 2011",7:00 PM
DAL,ANH,"DEC 19, 2011",8:00 PM
COL,PHI,"DEC 19, 2011",9:00 PM
EDM,DET,"DEC 19, 2011",9:30 PM
VAN,MIN,"DEC 19, 2011",10:00 PM
NJD,NYR,"DEC 20, 2011",7:00 PM
WSH,NSH,"DEC 20, 2011",7:00 PM
PIT,CHI,"DEC 20, 2011",7:30 PM
OTT,BUF,"DEC 20, 2011",7:30 PM
FLA,ARI,"DEC 20, 2011",7:30 PM
WPG,NYI,"DEC 20, 2011",8:30 PM
CGY,MIN,"DEC 20, 2011",9:00 PM
CAR,ARI,"DEC 21, 2011",7:00 PM
CHI,MON,"DEC 21, 2011",7:30 PM
DAL,PHI,"DEC 21, 2011",7:30 PM
COL,STL,"DEC 21, 2011",9:30 PM
VAN,DET,"DEC 21, 2011",10:00 PM
SJS,TBL,"DEC 21, 2011",10:30 PM
TOR,BUF,"DEC 22, 2011",7:00 PM
NYR,NYI,"DEC 22, 2011",7:00 PM
OTT,FLA,"DEC 22, 2011",7:30 PM
NSH,CBJ,"DEC 22, 2011",8:00 PM
WPG,MON,"DEC 22, 2011",8:30 PM
CGY,DET,"DEC 22, 2011",9:30 PM
EDM,MIN,"DEC 22, 2011",9:30 PM
